Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
4830000,0.301259,3.6070995,3000.0,2197.68692000707,2197.68692000707,0.2215683,0.14004943,1.0580983e-05,0.10352696,0.00018599538,1.0
4840000,0.15455012,3.9037187,3000.0,2193.5295280615487,2193.5295280615487,0.49715972,0.14044212,9.964003e-06,0.1033213,0.00017573297,1.0
4850000,0.29827654,3.4999564,3000.0,2099.8034467697144,2099.8034467697144,0.053361747,0.13625953,9.347436e-06,0.10311579,0.00016547738,1.0
4860000,0.21617752,3.598171,3000.0,2131.721443494161,2131.721443494161,0.16888247,0.13402689,8.730457e-06,0.102910124,0.00015521493,1.0
4870000,0.26424646,3.4674644,3000.0,2157.522670209408,2157.522670209408,0.04297521,0.13099411,8.113907e-06,0.102704614,0.00014495967,1.0
4880000,0.2495607,3.6824322,3000.0,2148.2401697039604,2148.2401697039604,0.114678815,0.13608536,7.496927e-06,0.102498926,0.00013469721,1.0
4890000,0.2332652,3.6915703,3000.0,2145.877678702275,2145.877678702275,0.117878,0.14001109,6.8799477e-06,0.10229326,0.00012443481,1.0
4900000,0.19422491,3.8450801,3000.0,2312.526598930359,2312.526598930359,0.10197331,0.1432845,6.2633776e-06,0.10208775,0.00011417921,1.0
4910000,0.1955512,3.8475318,3000.0,2276.3356840610504,2276.3356840610504,0.13232446,0.142247,5.6463978e-06,0.10188209,0.000103916784,1.0
4920000,0.16442771,3.9032264,3000.0,2235.658196131388,2235.658196131388,0.24868736,0.14024861,5.0298304e-06,0.101676576,9.366121e-05,1.0
4930000,0.46896705,2.9877443,2518.75,1342.584355354309,1342.584355354309,1.097892,0.13992861,4.413584e-06,0.10147118,8.341098e-05,1.0
4940000,0.12995538,3.9578426,3000.0,2222.573861479759,2222.573861479759,0.18458639,0.13935587,3.7966054e-06,0.10126551,7.3148534e-05,1.0
4950000,0.3157777,3.419475,3000.0,2064.8672710359097,2064.8672710359097,0.09585221,0.1384085,3.1800373e-06,0.10106,6.289296e-05,1.0
4960000,0.14031239,3.9360514,3000.0,2382.8014278411865,2382.8014278411865,0.10133283,0.14121605,2.5630577e-06,0.10085431,5.2630538e-05,1.0
4970000,0.16881403,3.892543,3000.0,2354.384164015452,2354.384164015452,0.065121815,0.13559675,1.946078e-06,0.10064865,4.23681e-05,1.0
4980000,0.17289956,3.9094653,3000.0,2356.4100303053856,2356.4100303053856,0.05983133,0.13218038,1.3295278e-06,0.100443125,3.2112817e-05,1.0
4990000,0.20814738,3.7662416,3000.0,2178.1517611344657,2178.1517611344657,0.12489604,0.14424253,7.125482e-07,0.10023748,2.185039e-05,1.0
5000000,0.20176199,3.6945112,3000.0,2326.891232808431,2326.891232808431,0.086159445,0.13424727,9.5980006e-08,0.100031964,1.1594805e-05,1.0
